date,actual_high,actual_low,actual_humidity,actual_maxpressurei,actual_minpressurei,actual_meanwdird,actual_meanwdire,actual_meanwindspdi,actual_meandewpti,actual_precipi,actual_meantempi,sw_humidity,sw_maxdewpti,sw_maxhumidity,sw_maxpressurei,sw_maxtempi,sw_maxwspdi,sw_meandewpti,sw_meantempi,sw_meanwdird,sw_meanwdire,sw_meanwindspdi,sw_mindewpti,sw_minhumidity,sw_minpressurei,sw_mintempi,sw_precipi,se_humidity,se_maxdewpti,se_maxhumidity,se_maxpressurei,se_maxtempi,se_maxwspdi,se_meandewpti,se_meantempi,se_meanwdird,se_meanwdire,se_meanwindspdi,se_mindewpti,se_minhumidity,se_minpressurei,se_mintempi,se_precipi,ne_humidity,ne_maxdewpti,ne_maxhumidity,ne_maxpressurei,ne_maxtempi,ne_maxwspdi,ne_meandewpti,ne_meantempi,ne_meanwdird,ne_meanwdire,ne_meanwindspdi,ne_mindewpti,ne_minhumidity,ne_minpressurei,ne_mintempi,ne_precipi,nw_humidity,nw_maxdewpti,nw_maxhumidity,nw_maxpressurei,nw_maxtempi,nw_maxwspdi,nw_meandewpti,nw_meantempi,nw_meanwdird,nw_meanwdire,nw_meanwindspdi,nw_mindewpti,nw_minhumidity,nw_minpressurei,nw_mintempi,nw_precipi
"March 11, 2018",77.8,56.6,73,29.93,29.74,,SW,4.3,56.8,0.00,67.2,,,,,,,,,,,,,,,,,77,65.8,96,29.91,79.4,8.0,57.9,65.2,,South,0.7,49.3,48,29.71,51.0,0.00,77,63.7,95,29.98,79.1,6.0,53.9,61.2,,SW,0.7,41.5,50,29.77,43.4,0.09,76,63.0,96,30.27,80.1,11.0,52.4,60.3,,SSW,2.0,39.0,50,30.02,40.5,0.02
"March 12, 2018",67.9,48.6,72,29.99,29.68,,WNW,6.6,50.5,0.02,58.2,24,17.1,33,-999.90,55.0,11.4,14.5,49.6,,NW,0.7,12.2,20,-999.90,44.2,0.00,70,67.0,94,29.99,71.5,21.0,53.0,57.5,,West,2.3,36.0,37,29.65,43.4,0.01,78,63.5,95,30.04,65.3,10.0,50.9,52.8,,West,2.0,37.1,50,29.69,40.3,0.02,73,65.0,98,30.38,65.5,16.0,46.3,51.5,,WNW,4.2,34.0,45,29.98,37.5,0.14
"March 13, 2018",63.4,39.4,56,30.10,29.98,,WNW,4.9,33.7,0.00,51.4,30,26.8,59,-999.90,65.1,16.1,17.1,49.2,,WNW,2.8,8.8,17,-999.90,33.4,0.00,66,43.7,93,30.08,66.0,10.0,34.3,48.8,,SW,0.7,29.6,31,29.95,31.7,0.00,68,40.9,92,30.14,64.2,6.0,36.2,49.3,,NW,0.9,31.9,36,30.01,34.5,0.00,63,42.0,93,30.48,66.1,11.0,33.7,48.2,,NW,2.0,28.0,27,30.28,30.3,0.00
"March 14, 2018",62.8,43.9,46,30.13,30.00,,NNW,5.3,29.1,0.00,53.3,36,32.7,68,-999.90,66.0,21.2,21.7,52.8,,NW,5.1,7.3,15,-999.90,39.7,0.00,54,41.8,94,30.10,67.3,11.0,31.7,52.7,,NW,1.1,20.7,18,29.99,38.0,0.00,61,40.7,90,30.16,63.4,11.0,32.7,50.1,,WNW,1.3,23.7,23,30.05,36.8,0.00,58,39.0,95,30.47,65.6,12.0,28.7,47.8,,NNW,2.5,20.0,17,30.32,30.0,0.00
"March 15, 2018",67.4,43.4,36,30.18,30.03,,West,5.8,25.9,0.00,55.4,32,26.1,64,-999.90,66.2,19.9,17.5,47.5,,WSW,3.0,5.7,17,-999.90,28.8,0.00,51,37.0,87,30.16,69.9,10.0,29.2,50.1,,SW,0.7,23.7,18,30.01,30.2,0.00,56,38.4,94,30.22,69.9,8.0,30.5,49.4,,WSW,1.0,26.5,21,30.05,28.9,0.00,56,36.0,93,30.52,71.1,12.0,27.3,47.9,,WSW,1.7,22.0,17,30.32,24.8,0.00
"March 16, 2018",75.2,46.0,59,30.12,30.00,,WSW,5.4,43.4,0.00,60.6,40,42.1,83,-999.90,72.9,15.9,25.9,54.2,,WSW,3.1,14.2,12,-999.90,35.4,0.00,59,50.3,97,30.12,77.6,6.0,38.7,55.1,,SW,0.5,28.6,17,29.98,32.6,0.00,68,53.4,94,30.16,76.2,9.0,44.0,56.0,,West,1.0,33.2,35,30.04,35.9,0.00,69,55.0,95,30.45,79.3,10.0,42.3,55.5,,West,2.0,30.0,29,30.25,31.6,0.00
"March 17, 2018",79.5,52.4,66,30.07,29.93,,WSW,5.2,50.5,0.00,65.9,46,62.1,84,-999.90,76.5,16.8,36.1,64.4,,SW,3.0,14.5,10,-999.90,52.3,0.00,61,57.6,98,30.05,83.3,8.0,45.4,62.2,,SSW,0.6,38.3,21,29.89,41.1,0.00,69,60.2,95,30.10,82.0,6.0,50.7,62.5,,SW,0.8,40.9,39,29.93,43.0,0.00,73,61.0,98,30.40,83.6,16.0,50.7,63.8,,SW,2.1,42.0,40,30.20,44.0,0.00
"March 18, 2018",81.2,58.8,80,29.97,29.81,,West,5.9,61.2,0.00,70.0,49,69.8,82,29.88,79.3,17.7,47.8,69.7,,WSW,4.1,27.5,15,29.82,60.1,0.00,74,65.5,96,29.94,84.8,12.0,59.8,70.9,,WSW,0.8,44.8,46,29.79,57.0,0.00,76,67.3,93,29.99,84.7,8.0,61.5,72.6,,WSW,1.2,55.1,42,29.83,60.6,0.00,76,67.0,98,30.28,86.9,11.0,64.4,72.2,,West,2.8,55.0,49,30.07,57.5,0.20
"March 19, 2018",68.7,61.2,93,29.87,29.72,,SW,6.2,62.0,2.83,64.9,79,76.5,83,29.88,83.3,30.6,67.1,76.8,,SE,1.9,59.5,62,29.71,70.3,4.58,93,66.0,96,29.85,69.6,13.0,64.5,66.2,,SSE,0.9,61.0,86,29.70,62.7,1.27,90,68.3,94,29.89,74.7,6.0,64.1,68.4,,SSW,1.1,60.1,79,29.74,62.2,0.80,96,69.0,98,30.15,73.5,11.0,64.1,67.8,,South,3.3,61.0,85,30.01,62.2,2.71
"March 20, 2018",75.8,61.4,84,29.75,29.55,,SW,13.0,63.8,0.01,68.6,52,72.7,80,29.76,81.3,26.2,52.2,72.8,,SW,11.6,28.9,21,29.64,64.2,0.04,84,72.6,97,29.76,79.9,21.0,65.2,71.4,,SSW,4.4,54.1,54,29.51,62.9,0.43,83,71.2,94,29.77,76.3,11.0,63.6,68.7,,SW,2.3,51.4,46,29.55,61.0,0.07,84,72.0,98,30.06,79.1,26.0,63.6,70.1,,SW,5.5,47.0,43,29.81,61.0,0.08
"March 21, 2018",64.1,52.5,54,30.07,29.72,,West,6.5,40.5,0.00,58.3,24,35.1,34,-999.90,64.2,30.9,21.0,58.6,,WNW,9.1,12.6,15,-999.90,53.1,0.00,57,57.9,84,30.06,66.5,18.0,43.7,59.8,,West,3.2,36.5,33,29.70,53.0,0.00,58,55.5,84,30.12,64.9,11.0,41.6,56.1,,West,2.2,34.6,34,29.73,47.2,0.00,54,48.0,76,30.43,68.0,19.0,39.3,57.0,,West,5.3,33.0,30,30.05,46.1,0.02
"March 22, 2018",64.1,43.5,42,30.22,30.07,,NNW,5.3,29.2,0.00,53.8,23,27.0,48,-999.90,66.9,23.9,16.3,55.2,,NW,6.6,7.9,15,-999.90,43.5,0.00,49,39.7,72,30.20,67.7,8.0,32.9,55.1,,WNW,0.6,26.7,22,30.06,42.6,0.00,58,38.7,85,30.26,65.4,9.0,34.5,51.7,,NW,1.3,26.4,24,30.11,38.0,0.00,52,37.0,91,30.57,68.6,11.0,31.1,52.0,,NW,2.4,23.0,19,30.42,35.5,0.00
"March 23, 2018",68.8,45.2,39,30.29,30.15,,NNW,4.3,31.5,0.00,57.0,34,32.0,70,-999.90,71.1,15.2,22.6,53.8,,North,2.8,13.1,13,-999.90,36.5,0.00,56,45.9,91,30.26,72.3,5.0,34.4,53.5,,NNW,0.2,28.4,24,30.13,34.6,0.00,64,45.4,94,30.33,69.0,6.0,37.0,51.8,,North,0.9,32.0,28,30.19,34.6,0.00,59,43.0,96,30.64,73.9,9.0,34.6,53.2,,NNW,1.4,29.0,24,30.44,32.4,0.00
"March 24, 2018",76.7,51.1,50,30.20,30.03,,WSW,5.3,42.8,0.00,63.9,41,44.1,89,-999.90,74.8,17.0,28.4,59.2,,SSW,3.6,14.5,10,-999.90,43.5,0.00,80,49.5,97,30.19,71.5,6.0,42.6,56.0,,SE,0.1,39.0,35,30.13,40.5,0.00,62,51.4,95,30.24,77.8,6.0,44.0,59.6,,SW,1.0,39.2,31,30.03,41.3,0.00,62,54.0,95,30.54,80.7,14.0,43.0,60.4,,SSW,2.2,38.0,24,30.31,40.2,0.00
"March 25, 2018",77.9,57.1,77,30.12,29.97,,WSW,9.4,58.4,0.08,67.5,48,56.3,83,-999.90,75.9,23.3,44.3,63.8,,SW,6.9,35.4,23,-999.90,51.6,0.00,,,,,,,,,,,,,,,,,79,66.8,93,30.18,77.3,7.0,56.7,62.6,,SW,1.6,43.0,51,29.99,47.8,0.08,83,68.0,98,30.45,79.4,11.0,60.8,67.9,,SW,3.2,54.0,65,30.24,56.5,0.02
"March 26, 2018",61.6,57.8,91,30.30,30.10,,North,10.9,56.3,0.02,59.7,47,56.7,72,-999.90,66.0,22.4,41.2,63.0,,NE,10.7,36.0,35,-999.90,59.9,0.00,92,62.1,96,30.27,66.6,9.0,60.6,63.6,,North,1.7,58.6,85,30.14,60.6,0.01,92,55.2,94,30.37,57.7,12.0,54.3,56.7,,NE,2.6,53.4,89,30.17,55.7,0.26,90,55.0,95,30.66,60.5,10.0,53.5,57.7,,NE,3.7,52.0,83,30.44,54.9,0.01
"March 27, 2018",74.1,58.1,75,30.30,30.19,,East,8.8,56.8,0.00,66.1,35,54.5,82,-999.90,78.8,15.9,34.1,69.2,,ENE,4.3,15.4,10,-999.90,59.5,0.00,78,62.6,99,30.27,74.6,15.0,57.0,64.0,,ESE,1.9,52.2,52,30.19,53.4,0.00,81,62.6,95,30.36,74.6,9.0,57.6,64.8,,ENE,1.4,52.2,58,30.25,55.1,0.00,78,62.0,98,30.65,77.6,10.0,56.5,66.3,,East,2.2,52.0,53,30.47,55.0,0.00
"March 28, 2018",78.3,58.6,66,30.24,30.05,,SE,6.3,55.6,0.00,68.4,30,46.9,75,-999.90,79.9,15.9,29.4,66.7,,SW,1.7,14.7,10,-999.90,53.4,0.00,74,60.9,98,30.23,79.8,18.0,55.9,64.9,,ESE,3.0,48.6,46,30.02,50.0,0.00,75,61.9,96,30.29,81.1,6.0,55.7,65.7,,SE,0.8,48.1,47,30.08,50.3,0.00,70,58.0,98,30.56,84.6,11.0,53.7,66.5,,South,2.2,47.0,39,30.31,48.4,0.00
"March 29, 2018",80.4,61.2,71,30.11,29.98,,SSW,7.7,59.5,0.00,70.8,43,57.7,84,30.10,79.0,22.4,39.5,68.8,,South,4.5,17.6,10,29.98,58.6,0.00,74,63.9,98,30.10,82.7,18.0,59.6,68.8,,SSE,2.8,53.5,46,29.94,54.9,0.00,76,64.1,95,30.15,82.3,8.0,58.2,67.2,,South,1.1,50.1,51,30.00,52.1,0.00,68,64.0,98,30.42,83.9,15.0,60.1,68.3,,South,5.1,51.0,50,30.25,52.8,0.00
"March 30, 2018",74.8,62.0,90,30.12,29.97,,SW,5.6,63.2,0.21,68.4,66,71.8,84,30.12,78.8,27.1,56.7,70.5,,SW,4.2,41.7,31,29.97,62.2,0.35,83,68.4,95,30.10,80.8,12.0,64.7,71.7,,South,1.4,60.0,61,29.98,62.6,0.12,90,66.6,95,30.17,74.4,8.0,60.6,66.1,,SW,0.7,55.5,75,30.00,57.8,0.25,94,66.0,98,30.43,67.8,17.0,61.6,63.4,,SSW,1.1,57.0,85,30.27,59.0,0.90
"March 31, 2018",73.5,56.1,78,30.19,30.08,,NNE,8.7,56.2,0.00,64.8,36,72.3,80,30.19,79.2,17.0,36.6,68.6,,NE,6.0,15.1,10,30.07,57.9,0.00,81,62.8,96,30.17,75.0,6.0,59.5,67.8,,North,0.1,54.5,61,30.06,60.5,0.01,83,60.9,95,30.25,71.2,9.0,56.1,62.5,,NE,1.8,49.7,66,30.14,53.8,0.00,74,58.0,98,30.52,77.1,11.0,54.3,65.6,,NE,2.4,48.0,48,30.38,54.0,0.01
"February 1, 2018",69.5,49.6,71,30.24,30.11,,SE,4.8,49.3,0.00,59.5,50,55.2,84,30.27,71.4,11.9,35.1,60.3,,WSW,1.3,18.9,14,30.11,49.3,0.00,82,58.0,98,30.24,72.2,5.0,47.8,54.8,,SSE,0.2,36.4,50,30.10,37.4,0.00,80,55.4,96,30.29,71.3,4.0,46.2,53.9,,SSW,0.5,34.7,51,30.16,36.4,0.00,80,54.0,98,30.56,71.8,8.0,44.4,53.7,,SSW,1.0,33.0,50,30.40,35.5,0.00
"February 2, 2018",66.5,47.6,64,30.28,30.10,,NW,6.2,44.5,0.00,57.0,39,45.9,66,30.30,69.1,21.2,29.1,59.2,,North,4.6,11.7,16,30.12,49.3,0.00,81,60.5,97,30.26,72.1,7.0,51.7,58.0,,WNW,0.3,41.6,52,30.10,44.0,0.00,69,57.7,95,30.35,65.6,10.0,43.0,55.1,,NNW,1.5,26.7,33,30.14,44.6,0.00,66,59.0,96,30.62,66.4,13.0,38.9,53.7,,NNW,2.3,24.0,25,30.42,40.9,0.00
"February 3, 2018",61.8,41.4,64,30.30,30.14,,NNE,9.9,39.6,0.00,51.6,22,26.6,34,30.32,66.6,15.4,16.1,54.5,,NE,5.9,5.9,16,30.15,42.4,0.00,76,54.5,91,30.27,66.9,7.0,46.5,54.1,,NE,0.2,35.5,63,30.13,41.3,0.00,69,48.4,86,30.38,61.4,12.0,39.5,49.0,,NE,2.4,25.7,48,30.20,36.5,0.00,59,49.0,81,30.65,66.1,9.0,36.3,51.3,,ENE,2.6,21.0,46,30.45,36.5,0.00
"February 4, 2018",69.0,52.8,89,30.14,29.87,,SSW,9.5,58.7,0.30,60.9,51,60.6,72,30.14,70.0,28.0,44.3,60.7,,SSW,5.5,26.2,27,29.86,51.3,0.47,92,65.5,98,30.12,71.8,18.0,58.8,59.3,,SSE,2.9,45.5,74,29.86,46.8,0.32,89,64.5,95,30.20,71.2,15.0,57.9,60.8,,South,1.5,46.6,76,29.92,50.3,0.83,90,64.0,96,30.45,70.1,16.0,57.2,59.9,,South,3.3,45.0,81,30.17,49.8,1.58
"February 5, 2018",69.8,51.4,72,30.20,29.97,,NNE,5.4,50.6,0.00,60.6,38,58.3,67,30.20,71.8,13.6,32.7,61.4,,NNE,3.3,20.1,16,29.98,50.9,0.00,80,63.2,97,30.20,71.3,6.0,54.0,57.5,,NE,0.3,42.1,43,29.95,43.7,0.01,78,62.3,94,30.26,70.3,7.0,50.6,58.0,,North,1.2,43.5,46,30.00,45.7,0.00,79,61.0,98,30.53,70.6,8.0,48.6,57.1,,North,1.0,42.0,45,30.27,43.6,0.00
"February 6, 2018",75.8,52.2,77,30.29,30.18,,East,6.4,55.1,0.00,64.0,38,50.5,80,30.30,78.6,7.2,32.5,63.3,,SSE,0.4,16.0,10,30.18,48.0,0.00,86,64.7,100,30.28,77.9,12.0,54.3,59.5,,ESE,1.0,40.2,55,30.17,41.0,0.00,84,62.5,96,30.36,75.6,6.0,51.7,58.5,,ENE,0.8,39.8,61,30.24,41.4,0.00,80,63.0,96,30.61,78.8,9.0,52.0,59.7,,SSE,0.5,39.0,46,30.48,40.5,0.00
"February 7, 2018",77.8,61.8,86,30.22,30.12,,SSW,8.1,63.8,0.00,69.8,53,70.9,81,30.21,78.3,21.5,51.8,71.6,,SSW,4.4,31.3,19,30.15,64.9,0.00,84,68.8,100,30.22,80.2,14.0,62.7,67.8,,SE,2.4,54.7,61,30.09,55.5,0.00,86,68.2,96,30.27,78.4,11.0,61.3,66.1,,SSW,1.1,52.0,68,30.15,53.7,0.00,93,68.0,98,30.52,77.1,11.0,63.2,66.6,,South,2.6,54.0,75,30.41,56.0,0.07
"February 8, 2018",66.3,55.6,90,30.30,30.15,,North,5.5,60.4,0.00,61.0,54,71.8,79,-999.90,79.0,14.5,51.4,68.8,,NE,4.9,28.6,26,-999.90,58.5,0.00,93,65.6,99,30.29,67.9,6.0,60.9,62.5,,North,0.1,53.8,82,30.15,57.0,0.00,86,64.9,95,30.36,70.0,5.0,58.1,60.9,,NNE,1.3,48.2,59,30.18,51.8,0.00,82,64.0,98,30.60,70.1,8.0,55.7,61.3,,North,1.6,47.0,49,30.43,52.5,0.01
"February 9, 2018",77.6,55.0,81,30.28,30.14,,NE,5.8,59.8,0.00,66.3,35,51.8,57,30.28,81.7,10.7,36.4,69.1,,ENE,2.6,19.4,10,30.21,56.5,0.00,85,69.2,95,30.26,79.4,13.0,64.1,68.4,,ESE,1.3,54.9,66,30.12,57.5,0.00,83,67.9,92,30.35,78.4,5.0,59.3,65.0,,NNE,1.2,48.3,70,30.19,51.6,0.00,82,66.0,95,30.60,76.9,7.0,57.3,64.2,,ENE,0.8,48.0,66,30.42,51.5,0.00
"February 10, 2018",80.3,64.4,83,30.20,30.05,,SSE,5.8,65.2,0.00,72.4,44,69.8,78,30.19,80.6,18.3,46.2,73.6,,SSW,2.5,18.3,10,30.04,66.6,0.00,85,69.6,98,30.17,81.0,13.0,66.0,72.1,,SE,2.6,61.8,58,30.02,63.1,0.00,84,69.6,96,30.23,82.5,5.0,64.6,73.1,,SSE,0.8,61.8,58,30.08,63.6,0.00,85,69.0,98,30.47,83.5,12.0,64.4,72.4,,South,2.0,59.0,60,30.31,61.3,0.00
"February 11, 2018",81.5,66.6,81,30.14,30.03,,SSW,7.9,66.5,0.06,74.1,49,67.3,78,30.12,79.2,22.8,50.7,73.1,,SSW,5.1,34.5,20,30.05,67.1,0.00,83,69.4,98,30.12,83.8,17.0,65.9,73.2,,SSE,2.1,61.7,54,30.01,62.6,0.00,84,70.4,95,30.18,82.0,8.0,66.0,72.8,,SSE,1.4,61.1,64,30.06,63.5,0.09,86,70.0,98,30.43,83.2,13.0,65.4,73.1,,South,2.8,61.0,65,30.30,63.0,0.04
"February 12, 2018",77.9,64.1,90,30.32,30.14,,NNW,4.4,66.7,0.09,71.0,61,63.9,74,-999.90,75.4,10.7,59.0,71.6,,SW,2.5,49.3,49,-999.90,67.8,0.77,92,72.3,98,30.29,82.0,9.0,69.1,74.6,,SSE,0.8,65.9,66,30.12,67.1,0.28,91,71.1,95,30.37,77.0,3.0,65.3,70.2,,NNE,0.5,61.7,81,30.18,63.5,0.37,93,69.0,96,30.63,73.4,5.0,64.3,68.1,,ESE,0.6,61.0,86,30.43,62.7,0.35
"February 13, 2018",68.8,54.8,93,30.45,30.28,,NNE,7.6,61.2,0.56,61.8,56,61.3,70,-999.90,73.2,15.4,52.2,67.4,,NE,5.4,44.8,43,-999.90,61.7,0.11,96,68.0,97,30.42,70.2,8.0,63.4,63.6,,North,0.4,56.2,92,30.27,57.0,0.01,91,63.5,93,30.52,66.6,9.0,57.7,60.2,,NE,2.3,51.5,87,30.34,53.8,0.01,92,64.0,96,30.77,68.0,9.0,60.4,62.6,,NE,2.0,55.0,88,30.60,57.2,0.00
"February 14, 2018",68.7,54.1,92,30.44,30.30,,NNE,5.3,57.5,0.00,61.4,53,57.4,81,-999.90,73.8,11.9,46.2,67.2,,NE,3.9,33.3,24,-999.90,60.6,0.00,92,64.2,98,30.41,70.7,0.0,59.0,63.6,,South,0.0,55.1,78,30.29,56.5,0.00,91,60.9,95,30.51,66.9,6.0,55.3,60.1,,NNE,1.1,51.3,80,30.35,53.3,0.00,88,65.0,96,30.76,75.9,6.0,57.7,65.4,,ENE,1.1,54.0,69,30.59,54.9,0.01
"February 15, 2018",78.7,57.2,85,30.31,30.17,,SW,4.3,61.0,0.00,67.9,57,68.9,83,-999.90,78.4,15.9,51.2,70.6,,SW,2.3,25.0,14,-999.90,62.8,0.00,85,67.5,99,30.30,82.3,5.0,60.9,68.3,,SSW,0.3,53.8,56,30.15,54.3,0.00,85,67.7,96,30.35,81.2,6.0,59.7,66.8,,SW,0.7,51.1,62,30.20,52.5,0.01,84,68.0,98,30.62,82.1,10.0,58.9,67.8,,SW,1.7,52.0,55,30.44,53.4,0.00
"February 16, 2018",77.3,61.5,83,30.20,30.08,,WSW,7.1,62.1,0.00,69.4,49,64.6,79,-999.90,75.9,16.1,47.4,71.2,,SW,2.3,23.0,14,-999.90,66.4,0.00,82,66.5,98,30.17,79.9,8.0,62.6,70.7,,SW,1.0,60.1,53,30.06,61.4,0.00,84,67.4,95,30.23,80.2,7.0,62.4,69.2,,SW,1.3,56.2,60,30.09,58.2,0.00,89,68.0,98,30.52,80.1,10.0,63.7,70.2,,SW,2.9,60.0,66,30.32,60.3,0.00
"February 17, 2018",79.2,63.9,84,30.18,30.10,,WSW,6.2,63.8,0.00,71.6,57,68.7,82,-999.90,76.8,18.1,53.7,72.6,,SW,3.1,25.2,15,-999.90,68.4,0.00,89,67.1,99,30.16,80.7,12.0,64.1,70.6,,SW,0.6,59.0,59,30.07,60.6,0.00,82,67.3,94,30.20,80.5,7.0,63.5,71.1,,SW,1.3,59.6,60,30.12,61.7,0.00,83,68.0,98,30.49,82.8,11.0,63.9,73.1,,SSW,2.6,62.0,54,30.33,63.4,0.00
